is_primary_source	url	domain	reason	category-infection_status	category-orevention_and_state_of_emergency_declaration	category-symptoms_medical_treatment_tests_and_other_medical_information	category-economics_and_welfare_policy	category-school_operation_and_online_classes	category-entertainment_and_sports	category-false_rumours
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	My government website	True	True	True	True	True	True	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	this site seems to be an official governement website	True	True	True	False	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This website appears to tv and is gouvernement website	False	True	False	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is French government website.	False	True	True	False	False	False	False
False	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	The site is operated by the government and has up to date official information	True	True	True	True	True	True	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	the site is gouvernement website	True	True	True	True	True	True	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the government website	True	True	True	True	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the government website	True	True	True	False	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	THIS SITE IS THE GOVERNEMENT WEB SITE	True	True	True	True	False	False	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the French government website	True	True	True	True	True	True	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	official news from french government	True	True	True	False	False	False	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the French government website.	False	True	True	True	True	True	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	It is the government website	False	True	True	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This site is a gouvernment website	True	True	True	True	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	Offical french government website	True	True	True	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	Government website	True	True	True	False	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	It's a government page	False	True	False	True	True	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is a governement website	True	True	True	True	True	True	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	this is the gouvernement web site	False	False	False	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This site is the government website.	True	True	True	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the governement's website	True	True	True	True	False	False	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	This is the government website	True	True	True	True	True	True	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	it's official government's website about covid-19 that provides current situation and information about it	True	True	True	True	False	False	True
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	official news from french government	True	True	True	False	False	False	False
False	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	map with city infect	True	True	False	False	False	False	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	this is a French government site. this is the official site for news on COVID-19 in France	True	True	True	True	True	True	True
False	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	The government keeps up to date information available. And it is also official.	True	True	True	True	True	True	False
True	https://www.gouvernement.fr/info-coronavirus	www.gouvernement.fr	government official website	True	True	True	True	True	True	True
False	https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019	www.who.int	This is oms website and I think is true	True	True	False	False	False	False	False
True	https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019	www.who.int	It is the World Health Organization, I can't think of a most trustworthy site.	True	True	True	True	True	True	True
True	https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019	www.who.int	This site is the website of WHO	True	True	True	False	False	False	False
True	https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019	www.who.int	most predominant heath information website	True	True	True	True	False	True	True
True	https://www.who.int/fr/emergencies/diseases/novel-coronavirus-2019	www.who.int	I trust this page as they are the main medical organization in the world.	True	True	True	True	True	True	False
