is_primary_source	url	domain	reason	category-infection_status	category-orevention_and_state_of_emergency_declaration	category-symptoms_medical_treatment_tests_and_other_medical_information	category-economics_and_welfare_policy	category-school_operation_and_online_classes	category-entertainment_and_sports	category-false_rumours
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	This give information about statistics of corona virus	True	True	True	True	True	True	True
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	because this is a globally trusted website	True	False	False	False	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	A lot of people follow the site	True	False	False	False	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	Up to date status	True	True	True	False	False	False	False
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	This is the common web site for all country	True	False	True	False	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	This site contains some very latest updates on the numbers and figures country wise and also statewise	True	True	True	False	False	False	False
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	They are First in Google Search	True	True	True	False	False	False	False
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	This is the best site as all information matches with what our government publish and validated by Indian government	True	True	False	False	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	Worldometer was voted as one of the best free reference websites by the American Library Association	True	True	False	True	False	False	False
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	This site provides worldwide corona infection numbers and other details. It is very reputed and trusteed website.	True	False	True	False	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	Displays useful statistics and graphs for all countries.	True	False	False	False	False	False	False
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This site is a government website.	True	True	True	True	False	False	True
False	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	More information related to the virus and videos and pdf files and very much informative	True	True	True	False	False	False	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	It's a Government of India site, which also provide accurate information	True	True	True	False	True	True	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	This site is run and maintained by  the government specially to engage with the people of India.	True	True	True	True	True	True	True
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	This Site is the Government Website	False	False	True	False	False	False	False
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This is the official page of the ministry of health and family welfare of government of India and is therefore reliable.	True	True	True	True	True	True	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	This is the official government website for COVID-19 so it will be free of any rumours and provides true information and helplines.	True	True	True	True	True	False	True
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	I can trust on the page because this is created by govt.	True	True	True	False	False	False	True
False	https://www.mohfw.gov.in/	www.mohfw.gov.in	This also government owned one which we trust fully.	False	False	False	False	False	False	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	THIS SITE IS GOV SIDE	True	True	True	False	False	False	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	This is a Webpage of the Government of India dedicated to spread information regarding the Covid-19/Coronavirus.	True	True	True	True	True	True	True
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This is the website of the Ministry of Health and Family Welfare, Government of India, a major resource for all official information regarding the government of India	True	True	True	True	True	True	True
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	Government of India site of official statistics and status of Pandemic	True	False	True	False	False	False	False
True	https://www.mygov.in/covid-19/?cbps=1	www.mygov.in	This is government official website	True	True	True	True	True	True	True
False	https://www.mohfw.gov.in/	www.mohfw.gov.in	This is also government site	True	True	False	True	False	False	True
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This my government Family and healthcare ministry website.	True	True	True	True	False	False	False
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This is official Government website. They cover almost all necessary information of public safety and well being.	True	True	True	True	False	False	True
True	https://www.mohfw.gov.in/	www.mohfw.gov.in	This site is the Government of Health and family welfare Website	True	True	True	False	False	False	False
