is_primary_source	url	domain	reason	category-infection_status	category-orevention_and_state_of_emergency_declaration	category-symptoms_medical_treatment_tests_and_other_medical_information	category-economics_and_welfare_policy	category-school_operation_and_online_classes	category-entertainment_and_sports	category-false_rumours
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	This is the governement web site	True	True	True	False	False	False	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	this site is government web site.	True	True	True	True	True	True	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	This site is the Italian government web site	True	True	True	False	False	False	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	it's govern site	True	True	True	True	True	True	True
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	Salute.gov.it	True	False	False	False	False	False	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	This is the italian government web site	True	True	True	True	False	False	True
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	the site is the official page of the Ministry of Health	False	False	False	False	False	False	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	http://www.governo.it/it/faq-iorestoacasa	True	True	False	True	False	False	True
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	this is a government site	True	True	True	False	False	False	False
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	It's a governement website.	True	True	False	True	False	False	True
True	http://www.salute.gov.it/nuovocoronavirus	www.salute.gov.it	This is the Italian daily general-interest newspaper.	True	True	False	False	True	False	False
True	http://www.salute.gov.it/portale/home.html	www.salute.gov.it	I trust this page because it is the official italian government's health website, and it constantly updates notices about the general info about COVID-19	True	True	True	False	False	False	False
True	http://www.salute.gov.it/portale/home.html	www.salute.gov.it	This is an other source of italian government. Similar to previous one, but there are more updates about infection status (in Italy and the world)	True	True	True	True	True	True	True
True	http://www.salute.gov.it/portale/home.html	www.salute.gov.it	This is the government site	True	True	True	False	False	False	False
True	http://www.salute.gov.it/portale/home.html	www.salute.gov.it	Is the official site for the Italian  Ministry of Health	True	True	False	True	False	False	False
True	https://www.worldometers.info/coronavirus/	www.worldometers.info	Cites as a good source by many journalists. It cites its sources and they're all official.	True	False	True	False	False	False	False
True	http://www.governo.it/it/coronavirus	www.governo.it	this is a site of the governement	True	True	True	False	False	False	False
False	https://www.ansa.it/	www.ansa.it	It's an important agency of information.	True	True	True	True	False	False	True
False	https://www.corriere.it/	www.corriere.it	This site is an online journal	True	True	True	True	True	True	False
False	https://www.corriere.it/	www.corriere.it	It's one of the most important source of information for my country	False	False	False	False	False	False	False
True	http://www.governo.it/it/coronavirus	www.governo.it	Government web site	True	True	True	True	False	False	False
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	This site is really accurate and trusted on statistics and updates	True	True	True	True	False	False	False
False	https://www.repubblica.it/	www.repubblica.it	one of main italian newspaper	True	True	True	True	True	True	True
True	http://www.governo.it/it/coronavirus	www.governo.it	{}	True	True	True	True	True	True	True
True	https://www.usa.gov/coronavirus	www.usa.gov	I trust a government site on an emergency	True	True	True	False	False	False	False
False	https://www.nytimes.com/news-event/coronavirus	www.nytimes.com	I trust this newspaper a lot, it has always been one of the most serious	False	True	True	True	False	False	True
True	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?area=nuovoCoronavirus&id=5351&lingua=italiano&menu=vuoto	www.salute.gov.it	it's the gov. portal, providing all relevant information	True	True	True	True	True	True	True
False	https://www.repubblica.it/	www.repubblica.it	The biggest italian newspaper	False	False	False	True	True	False	False
False	https://www.repubblica.it/	www.repubblica.it	this site is operated by one of the most trusted news company of italy	False	False	False	False	False	False	False
True	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?area=nuovoCoronavirus&id=5351&lingua=italiano&menu=vuoto	www.salute.gov.it	It's the official government account. It's updated every day by the government itself, it's clear and explains very well, it's up-to-date with all the decisions the government takes.	True	True	True	True	True	True	True
True	https://www.usa.gov/coronavirus	www.usa.gov	This is theThis is the US government website that talks about the coronavirus government site	True	True	True	False	False	False	False
False	https://www.nytimes.com/news-event/coronavirus	www.nytimes.com	is one of the best daily news in the world	True	False	False	True	False	True	True
False	https://www.ansa.it/	www.ansa.it	I think it is one of the best news pages	True	True	False	True	True	False	True
True	https://www.corriere.it/	www.corriere.it	this is the site of one of the most famous newspapers in Italy	True	True	False	False	False	True	False
True	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?area=nuovoCoronavirus&id=5351&lingua=italiano&menu=vuoto	www.salute.gov.it	this is the official website of health department of italy	True	True	True	True	True	True	True
False	https://www.worldometers.info/coronavirus/	www.worldometers.info	Trusted website.	True	False	False	False	False	False	False
False	https://www.ansa.it/	www.ansa.it	this site gives important information on Italian healthcare	True	True	True	False	False	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	this site is the government response to the virus and this site describe very well the situation	False	True	False	True	True	False	False
False	https://www.nytimes.com/news-event/coronavirus	www.nytimes.com	this site reports updates of the virus with an accurate description	True	True	False	True	False	False	False
False	https://coronavirus.jhu.edu/map.html	coronavirus.jhu.edu	Started very early to collect data on the cases number worldwide	True	False	False	False	False	False	False
False	http://www.governo.it/it/faq-iorestoacasa	www.governo.it	because it's the second page of the government from an economic point of view	True	True	False	True	True	True	False
True	http://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.jsp	www.salute.gov.it	This is our  Ministry of Health official website	False	False	False	False	False	False	False
True	https://coronavirus.jhu.edu/map.html	coronavirus.jhu.edu	This is the website of Johns Hopkins University	True	True	True	True	False	False	False
False	https://lab24.ilsole24ore.com/coronavirus/	lab24.ilsole24ore.com	This is the principal web site of coronavirus in Italy, followed by all the italian citizens	True	True	False	True	False	False	False
True	http://www.governo.it/it/faq-iorestoacasa	www.governo.it	http://www.salute.gov.it/covid-19	True	True	False	False	False	False	False
False	https://www.ilmessaggero.it/italia/coronavirus_bollettino_oggi_contagi_morti_guariti_24_aprile_2020-5190273.html	www.ilmessaggero.it	https://www.corriere.it/salute/malattie_infettive/20_aprile_24/coronavirus-italia-192994-casi-positivi-25969-morti-bollettino-24-aprile-730f02ea-8641-11ea-9ac6-16666bda3d31.shtml	True	False	False	False	False	False	False
False	https://www.medicalfacts.it/	www.medicalfacts.it	This site belongs to the most famous virologist in italy	True	True	True	False	False	False	True
False	https://lab24.ilsole24ore.com/coronavirus/	lab24.ilsole24ore.com	great newspaper	False	False	False	False	False	False	False
True	https://www.medicalfacts.it/	www.medicalfacts.it	because it is a page directed by an important Italian virologist	True	True	True	False	False	False	False
False	http://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.jsp	www.salute.gov.it	Is the official coronavirus dedicated page from the Italian Health Ministry.	True	True	True	True	False	False	False
False	https://www.ilmessaggero.it/italia/coronavirus_bollettino_oggi_contagi_morti_guariti_24_aprile_2020-5190273.html	www.ilmessaggero.it	it's an understandable and easy site	False	True	True	False	True	True	False
False	https://www.corriere.it/salute/malattie_infettive/20_aprile_24/coronavirus-italia-192994-casi-positivi-25969-morti-bollettino-24-aprile-730f02ea-8641-11ea-9ac6-16666bda3d31.shtml	www.corriere.it	this is the website of the official newspaper if taly	True	True	True	True	True	True	True
False	https://www.corriere.it/salute/malattie_infettive/20_aprile_24/coronavirus-italia-192994-casi-positivi-25969-morti-bollettino-24-aprile-730f02ea-8641-11ea-9ac6-16666bda3d31.shtml	www.corriere.it	The site gives important information about the number of infected, dead and asymptomatic people	True	False	False	False	False	False	False
False	https://covid-19.aircode.it/d/dG6w7iXZk/covid-19-italia	covid-19.aircode.it	Stats made of official sources.	True	False	False	False	False	False	False
False	https://www.tgcom24.mediaset.it/news-tag/coronavirus/	www.tgcom24.mediaset.it	this site is trusted by the community	True	True	True	True	True	True	True
True	https://www.gov.uk/coronavirus-extremely-vulnerable	www.gov.uk	This is a government website	True	True	True	False	True	True	False
False	https://www.globalcitizen.org/en/content/coronavirus-resources-for-reliable-information/	www.globalcitizen.org	This site is a newspaper so eversione can use it	True	True	True	True	False	False	False
True	http://www.rainews.it/dl/rainews/redazioni/ContentSet-6e5f5453-f45b-4496-ae0f-cbd3838dfd09-0.html	www.rainews.it	Website of the State-run media channels (Rai Media/Rai News), with all latest relevant information.	True	True	False	True	True	True	False
