is_primary_source	url	domain	reason	category-infection_status	category-orevention_and_state_of_emergency_declaration	category-symptoms_medical_treatment_tests_and_other_medical_information	category-economics_and_welfare_policy	category-school_operation_and_online_classes	category-entertainment_and_sports	category-false_rumours
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	信頼できる企業のもので情報の発信が早く内容も詳しいと感じるから	True	True	True	True	False	True	True
True	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	速報性が高く信頼している	True	True	True	False	False	False	False
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	見やすくよくまとまっているので	False	False	False	False	False	False	False
True	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	情報が曖昧ではないから	True	True	False	False	False	False	False
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	情報が曖昧ではないから	False	False	False	True	False	True	False
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	皆が利用しているから公平性が大会と思ったから	True	True	True	True	True	False	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	Yahoo!Japanによるまとめサイトであり、主要ニュースから国内外の感染状況などがトップページにまとめられていてその情報源も明記されているから。	True	True	True	True	False	False	False
True	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	動画とか、写真もあったので	True	True	False	False	False	False	False
True	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	代表的なサイトだから	True	True	True	True	True	False	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	ヤフージャパンは信頼できる企業だから情報は正確だと思います	True	True	True	True	True	False	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	各媒体のニュース記事のリンクが多数あり参考になる	True	True	True	True	False	True	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	ヤフー運営の信頼できるソースであるから	True	True	True	False	False	False	False
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	ヤフージャパンが運営しているから	True	True	True	True	True	True	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	ヤフーだから	True	True	True	True	False	False	False
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	YAHOO!JAPANは信頼できる企業なので	True	True	True	True	True	False	True
False	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	信頼できるニュースサイトが提供しているサイトだから。	True	True	False	False	False	False	True
True	https://hazard.yahoo.co.jp/article/20200207	hazard.yahoo.co.jp	感染状況や常に色々な情報を取得でき有名な会社であるから。	True	True	True	True	False	False	False
