is_primary_source	url	domain	reason	category-infection_status	category-orevention_and_state_of_emergency_declaration	category-symptoms_medical_treatment_tests_and_other_medical_information	category-economics_and_welfare_policy	category-school_operation_and_online_classes	category-entertainment_and_sports	category-false_rumours
True	https://www.usa.gov/coronavirus	www.usa.gov	It is an official site	True	True	True	False	False	False	True
True	https://www.usa.gov/coronavirus	www.usa.gov	is a govermment website	True	True	True	True	False	False	True
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	True	False	False	True	True	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	True	False	True	False	False	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	True	True	True	False	False	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	False	True	False	False	False	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	False	False	True	False	False	False	False
True	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	False	False	False	False	True	False	False
False	https://www.usa.gov/coronavirus	www.usa.gov	https://www.usa.gov/coronavirus	False	True	False	False	False	True	False
True	https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm	www.mscbs.gob.es	This site has information posted by the government	True	True	True	False	False	False	True
True	https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm	www.mscbs.gob.es	This is the official government website, all this information is the one that is officially approved and contrasted by the government	True	True	True	True	True	True	False
True	https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm	www.mscbs.gob.es	It is the official website of the government of Spain	True	True	True	True	True	False	False
True	https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm	www.mscbs.gob.es	An 's' after 'http' and it´s suppose to be a governmental website.	True	False	False	False	False	False	False
True	https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm	www.mscbs.gob.es	is from the governement	True	True	False	False	False	False	False
